customer_id,buyer_business_type,district_id,district_name_ar,city_name_en,area_name_ar,geo_latitude,geo_longitude,registration_date,avg_ticket_size,number_of_transactions,number_of_cancelled_transactions,last_order_date,total_orders_amount
2659,اخري,100128,المعادي,Cairo,طرة,29.9408,31.27665,2020-02-05,1149.9169696969695,33,11,2021-03-16,37947.259999999995
2713,سوبر ماركت,100125,حلوان,Cairo,NA,29.85856,31.31948,2020-03-15,8383.2,1,1,2020-03-15,8383.2
2745,سوبر ماركت,100125,حلوان,Cairo,المعصرة,29.84112,31.33609,2020-03-17,1983.140909090909,11,7,2020-10-06,21814.55
2761,سوبر ماركت,100125,حلوان,Cairo,المعصرة,NA,NA,2020-03-17,1778.9066666666665,3,2,2021-03-09,5336.719999999999
2762,سوبر ماركت,100134,مدينه نصر,Cairo,مدينه نصر,30.0541,31.3944,2020-03-17,6315.826363636364,11,3,2020-09-01,69474.09
2778,سوبر ماركت,100125,حلوان,Cairo,حلوان,29.9061,31.2966,2020-03-18,2458.228695652174,23,8,2021-03-16,56539.259999999995
2814,سوبر ماركت,100173,ميت نما,Cairo,ميت نما,30.14527,31.23358,2020-03-19,5941.565,2,2,2020-03-19,11883.13
2818,سوبر ماركت,100125,حلوان,Cairo,NA,29.85776,31.3178,2020-03-19,1597.14,1,1,2020-03-19,1597.14
2819,سوبر ماركت,100107,عين شمس,Cairo,عين شمس,30.13951,31.32246,2020-03-19,1648.8864285714285,14,4,2021-01-26,23084.41
2885,سوبر ماركت,100155,القناطر الخيرية,Cairo,التقسيم السياحي ,29.84953,31.32749,2020-03-22,4410,1,1,2020-03-22,4410
2917,سوبر ماركت,100134,مدينه نصر,Cairo,مدينه نصر,30.04625,31.3488,2020-03-23,2656.4390909090907,11,2,2021-02-13,29220.829999999998
2920,سوبر ماركت,100134,مدينه نصر,Cairo,مدينه نصر,30.04705,31.34866,2020-03-23,NA,NA,NA,NA,NA
2997,سوبر ماركت,100151,عزبة النخل,Cairo,عزبة النخل,NA,NA,2020-03-28,2105.62,1,1,2020-03-28,2105.62
3000,سوبر ماركت,100128,المعادي,Cairo,المعادي,29.7479,31.24276,2020-03-29,1386.7475,8,4,2021-03-13,11093.98
3023,كشك,100128,المعادي,Cairo,المعادي,NA,NA,2020-03-29,1959.26,2,2,2020-03-31,3918.52
3078,سوبر ماركت,100125,حلوان,Cairo,حلوان,30.13055,31.3466,2020-04-04,3755.5049999999997,4,3,2020-09-29,15022.019999999999
3091,سوبر ماركت,100134,مدينه نصر,Cairo,مدينه نصر,30.05337,31.35468,2020-04-05,629.5933333333334,3,1,2021-01-30,1888.78
3139,اخري,100128,المعادي,Cairo,المعادي,NA,NA,2020-07-12,1918.155,2,1,2020-10-07,3836.31
3164,اخري,100107,عين شمس,Cairo,عين شمس,NA,NA,2020-07-12,NA,NA,NA,NA,NA
3209,سوبر ماركت,100215,طرة,Cairo,طرة,30.15635,31.36955,2020-04-09,2560.624634146341,41,7,2021-03-02,104985.60999999999
3223,سوبر ماركت,100131,المطرية,Cairo,الاميريه ,30.1065,31.3061,2020-04-11,3604.965,2,0,2020-05-27,7209.93
3245,سوبر ماركت,100107,عين شمس,Cairo,عين شمس,NA,NA,2020-04-12,514.7816666666666,6,2,2020-10-03,3088.69
3246,سوبر ماركت,100128,المعادي,Cairo,المعادي,NA,NA,2020-04-12,3606.663333333333,9,2,2021-03-06,32459.969999999998
3279,سوبر ماركت,100122,حدائق القبة,Cairo,كوبري القبة,30.08524,31.29303,2020-04-13,1594.7299999999998,3,1,2021-01-30,4784.19
3292,سوبر ماركت,100122,حدائق القبة,Cairo,المطريه,30.0858,31.2957,2020-04-13,1847.9599999999998,5,2,2021-02-22,9239.8
3296,سوبر ماركت,100122,حدائق القبة,Cairo,المطريه,30.08796,31.2963,2020-04-13,NA,NA,NA,NA,NA
3361,سوبر ماركت,100128,المعادي,Cairo,المعادي,NA,NA,2020-04-15,NA,NA,NA,NA,NA
3382,سوبر ماركت,100128,المعادي,Cairo,المعادي,29.9726,31.2515,2020-04-15,1828.0530769230768,13,1,2021-03-10,23764.69
3405,سوبر ماركت,100134,مدينه نصر,Cairo,مدينه نصر,31.33712,30.039180000000002,2020-04-16,1077.6333333333332,6,4,2021-02-24,6465.799999999999
3429,سوبر ماركت,100125,حلوان,Cairo,NA,29.85812,31.31348,2020-04-16,10020.199999999999,2,2,2020-07-25,20040.399999999998
3471,سوبر ماركت,100107,عين شمس,Cairo,عين شمس,30.0417,31.21152,2020-04-18,1176.58,1,0,2020-07-13,1176.58
3513,سوبر ماركت,100110,المرج,Cairo,المرج,30.14715,31.33385,2020-04-19,3021.816666666666,3,1,2020-10-20,9065.449999999999
3532,سوبر ماركت,100110,المرج,Cairo,المرج,30.02532,31.21152,2020-04-21,NA,NA,NA,NA,NA
3561,سوبر ماركت,100128,المعادي,Cairo,المعادي,29.97653,31.25715,2020-04-21,896.8279999999999,5,1,2021-01-30,4484.139999999999
3584,سوبر ماركت,100110,المرج,Cairo,المرج,30.06173,31.22448,2020-04-22,NA,NA,NA,NA,NA
3607,سوبر ماركت,100128,المعادي,Cairo,حدائق المعادي,29.97137,31.24956,2020-04-23,877.01,1,1,2020-11-06,877.01
3637,سوبر ماركت,100110,المرج,Cairo,المرج,30.16195,31.3277,2020-04-26,1120.975,4,1,2021-01-21,4483.9
3734,سوبر ماركت,100131,المطرية,Cairo,NA,31.20538,30.01059,2020-04-29,885,1,1,2020-05-22,885
4028,سوبر ماركت,100149,الزاويه الحمراء,Cairo,الزاويه الحمراء,31.26057,30.07599,2020-05-03,1630.4433333333334,3,0,2020-10-07,4891.33
4091,سوبر ماركت,100119,فيصل,Giza,فيصل,NA,NA,2020-05-04,NA,NA,NA,NA,NA
4147,سوبر ماركت,100104,٦ اكتوبر,Giza,NA,29.93245,31.0493,2020-05-04,2468.2549999999997,2,1,2020-09-17,4936.509999999999
4340,سوبر ماركت,100110,المرج,Cairo,المرج القديمة,30.06111,31.22413,2020-05-06,3048.379090909091,11,7,2021-03-12,33532.17
4349,سوبر ماركت,100110,المرج,Cairo,المرج القديمة,30.06111,31.22413,2020-05-06,1536.75,1,0,2020-05-13,1536.75
4575,سوبر ماركت,100151,عزبة النخل,Cairo,عزبة النخل,30.1446,31.315550000000002,2020-05-06,1745.01,6,3,2021-03-16,10470.06
4635,سوبر ماركت,100107,عين شمس,Cairo,عين شمس,30.1338,31.3161,2020-05-07,NA,NA,NA,NA,NA
4835,سوبر ماركت,100105,العباسية,Cairo,NA,30.06961,31.27389,2020-05-09,2180.265,2,2,2020-08-17,4360.53
5059,سوبر ماركت,100116,الدقي,Giza,الدقي,29.95605,31.1582,2020-05-10,2107.8242857142855,7,5,2021-03-13,14754.769999999999
5161,كشك,100119,فيصل,Giza,فيصل,30.0018,31.1471,2020-05-11,883.4333333333333,18,5,2021-02-28,15901.8
5250,سوبر ماركت,100152,مدينة السلام,Cairo,السلام,30.1415,31.3945,2020-05-11,3620.8271428571425,14,4,2021-03-16,50691.579999999994
5261,سوبر ماركت,100162,الوراق,Giza,وراق العرب,30.10353,31.21596,2020-05-11,260,1,0,2020-09-15,260
5408,سوبر ماركت,100150,الوايلي,Cairo,الأميرية الشمالية,30.1009,31.2861,2020-05-12,1436.8435714285713,14,0,2021-02-25,20115.809999999998
5481,سوبر ماركت,100151,عزبة النخل,Cairo,عزبة النخل,30.1472,31.3236,2020-05-12,2570.119411764706,17,10,2021-03-13,43692.03
5543,سوبر ماركت,100122,حدائق القبة,Cairo,مصر والسودان,30.07045,31.271,2020-05-12,799.67,3,1,2021-02-22,2399.0099999999998
5551,اخري,100157,بولاق الدكرور,Giza,زنين,30.03391,31.18832,2020-05-12,1433.43625,8,2,2021-02-01,11467.49
5580,سوبر ماركت,100122,حدائق القبة,Cairo,مصر والسودان,30.0792,31.27425,2020-05-12,1009.39,4,1,2020-09-28,4037.56
5589,سوبر ماركت,100123,الهرم,Giza,الهرم,31.19841,30.03843,2020-05-12,250,1,0,2020-09-27,250
5696,سوبر ماركت,100157,بولاق الدكرور,Giza,ابو اتاته,30.0345,31.1891,2020-05-13,470.17,2,0,2020-10-21,940.34
5758,كشك,100143,شبرا الخيمة,Cairo,شبرا الخيمة,30.12253,31.25044,2020-05-13,NA,NA,NA,NA,NA
5809,سوبر ماركت,100123,الهرم,Giza,الهرم,29.9856,31.16925,2020-05-13,1344.7293333333332,45,8,2021-03-03,60512.82
6068,سوبر ماركت,100157,بولاق الدكرور,Giza,ابو اتاته,31.17909,30.03731,2020-05-14,961.7449999999999,6,1,2021-03-13,5770.469999999999
6117,سوبر ماركت,100110,المرج,Cairo,كفر الشرفا,30.1421,31.3522,2020-05-15,1349.656,20,3,2021-02-21,26993.12
6154,سوبر ماركت,100110,المرج,Cairo,المرج القديمة,31.20538,29.98927,2020-05-16,1360.58,1,1,2020-06-10,1360.58
6155,سوبر ماركت,100172,بهتيم,Cairo,بهتيم,30.13365,31.27835,2020-05-16,1180.685,4,1,2021-02-27,4722.74
6205,سوبر ماركت,100172,بهتيم,Cairo,بهتيم,29.98927,31.20538,2020-05-16,NA,NA,NA,NA,NA
6246,سوبر ماركت,100119,فيصل,Giza,ابو اتاته,29.98927,31.20538,2020-05-16,260,1,0,2020-09-22,260
6272,اخري,100173,ميت نما,Cairo,ميت نما,30.1424,31.24615,2020-05-16,2055.122413793103,29,7,2021-03-15,59598.549999999996
6275,سوبر ماركت,100126,امبابة,Giza,جزيرة امبابة,30.0911,31.218,2020-05-16,717.8,5,1,2021-02-01,3589
6281,عطارة,100119,فيصل,Giza,المريوطيه,NA,NA,2020-05-16,2093.23,1,0,2021-02-04,2093.23
6303,سوبر ماركت,100119,فيصل,Giza,فيصل,29.9974,31.1401,2020-05-16,1121.914,5,1,2021-02-21,5609.57
6305,سوبر ماركت,100184,شبرا الخيمه,Cairo,شبرا الخيمه,30.1437,31.24905,2020-05-16,991.5,1,0,2020-12-19,991.5
6319,سوبر ماركت,100142,شبرا مصر,Cairo,الخلفاوى,30.0959,31.2459,2020-05-16,993.9059999999998,15,7,2021-01-21,14908.589999999998
6346,سوبر ماركت,100131,المطرية,Cairo,الاميريه ,NA,NA,2020-05-16,751.5,2,0,2020-12-25,1503
6372,سوبر ماركت,100151,عزبة النخل,Cairo,عزبة النخل,29.98927,31.20538,2020-05-16,NA,NA,NA,NA,NA
6396,سوبر ماركت,100110,المرج,Cairo,المرج القديمة,31.11977,30.03515,2020-05-16,NA,NA,NA,NA,NA
6572,سوبر ماركت,100153,الخصوص,Cairo,الخصوص,29.96846,31.20554,2020-05-17,NA,NA,NA,NA,NA
6632,سوبر ماركت,100153,الخصوص,Cairo,الخصوص,NA,NA,2020-05-17,2251.65,5,1,2021-01-28,11258.25
6642,منظفات,100184,شبرا الخيمه,Cairo,شبرا الخيمه,30.16147,31.32402,2020-05-17,1195.06,2,1,2021-02-02,2390.12
6643,سوبر ماركت,100153,الخصوص,Cairo,الخصوص,29.96846,31.20554,2020-05-17,NA,NA,NA,NA,NA
6699,سوبر ماركت,100162,الوراق,Giza,وراق العرب,30.10005,31.21055,2020-05-17,807.3889999999999,10,2,2020-10-19,8073.889999999999
6704,سوبر ماركت,100107,عين شمس,Cairo,عين شمس,30.14367,31.32144,2020-05-17,2437.785,2,1,2021-03-03,4875.57
6782,سوبر ماركت,100159,حي الجيزة,Giza,محطة القطار,30.00816,31.20996,2020-05-17,824.0625,4,1,2020-07-28,3296.25
6792,سوبر ماركت,100151,عزبة النخل,Cairo,عزبة النخل,NA,NA,2020-05-17,NA,NA,NA,NA,NA
7032,سوبر ماركت,100149,الزاويه الحمراء,Cairo,الزاويه الحمراء,30.09352,31.27367,2020-05-18,3206.8099999999995,3,0,2021-03-11,9620.429999999998
7097,سوبر ماركت,100143,شبرا الخيمة,Cairo,شبرا الخيمة,31.20169,30.05153,2020-05-19,499.8,1,0,2020-10-24,499.8
7136,سوبر ماركت,100143,شبرا الخيمة,Cairo,شبرا الخيمة,30.05153,31.20169,2020-05-19,NA,NA,NA,NA,NA
7214,سوبر ماركت,100143,شبرا الخيمة,Cairo,شبرا الخيمة,31.18248,30.0369,2020-05-20,1579.5655555555554,9,3,2021-02-24,14216.089999999998
7237,سوبر ماركت,100143,شبرا الخيمة,Cairo,شبرا الخيمة,31.18248,30.0369,2020-05-20,1092.3272222222222,18,4,2021-03-14,19661.89
7246,سوبر ماركت,100110,المرج,Cairo,المرج الجديدة,30.1668,31.32885,2020-05-20,6617.530624999999,16,4,2021-03-09,105880.48999999999
7288,سوبر ماركت,100184,شبرا الخيمه,Cairo,شبرا الخيمه,31.24595,30.14354,2020-05-20,1353.68,1,1,2020-07-28,1353.68
7349,سوبر ماركت,100143,شبرا الخيمة,Cairo,شبرا الخيمة,30.05169,31.20538,2020-05-20,1763,1,1,2020-09-19,1763
7383,عطارة,100143,شبرا الخيمة,Cairo,شبرا الخيمة,NA,NA,2020-05-21,NA,NA,NA,NA,NA
7384,كشك,100143,شبرا الخيمة,Cairo,شبرا الخيمة,30.1299,31.2452,2020-05-21,580.05,2,0,2020-10-13,1160.1
7419,عطارة,100143,شبرا الخيمة,Cairo,شبرا الخيمة,30.03089,31.20538,2020-05-21,881.9374999999999,8,0,2021-02-24,7055.499999999999
7472,سوبر ماركت,100134,مدينه نصر,Cairo,زهراء مدينه نصر,30.0582,31.3872,2020-05-21,NA,NA,NA,NA,NA
7477,سوبر ماركت,100143,شبرا الخيمة,Cairo,شبرا الخيمة,30.03089,31.20538,2020-05-21,849.1,1,0,2020-12-09,849.1
7542,كشك,100126,امبابة,Giza,جزيرة امبابة,30.079,31.21594,2020-05-27,1666.7033333333331,3,0,2021-01-29,5000.11
7543,سوبر ماركت,100126,امبابة,Giza,جزيرة امبابة,29.9564,31.159,2020-05-27,755.107619047619,42,11,2021-03-10,31714.519999999997
7608,سوبر ماركت,100134,مدينه نصر,Cairo,زهراء مدينه نصر,30.06231,31.38249,2020-05-28,1343.54,1,0,2020-10-21,1343.54
7742,سوبر ماركت,100126,امبابة,Giza,الكيت كات,31.2086,30.0725,2020-05-30,2452.6259999999997,5,2,2021-03-04,12263.13
7749,سوبر ماركت,100153,الخصوص,Cairo,الخصوص,30.1564,31.36965,2020-05-30,4779.171428571428,14,9,2020-10-15,66908.4
7785,عطارة,100126,امبابة,Giza,جزيرة امبابة,30.07211,31.20708,2020-05-30,1062.73,3,2,2021-03-07,3188.19
7786,سوبر ماركت,100142,شبرا مصر,Cairo,روض الفرج,30.0882,31.2469,2020-05-30,570.36,1,0,2020-10-12,570.36
7800,سوبر ماركت,100140,مصر القديمة,Cairo,مصر القديمة,30.06648,31.22828,2020-05-30,NA,NA,NA,NA,NA
7823,عطارة,100173,ميت نما,Cairo,ميت نما,30.14781,31.23708,2020-05-31,NA,NA,NA,NA,NA
7835,سوبر ماركت,100126,امبابة,Giza,جزيرة امبابة,30.0818,31.1978,2020-05-31,2809.91,1,0,2020-08-09,2809.91
7859,سوبر ماركت,100126,امبابة,Giza,جزيرة امبابة,30.0825,31.2029,2020-05-31,1022.1674999999999,4,1,2021-03-07,4088.6699999999996
7872,عطارة,100162,الوراق,Giza,وراق العرب,30.10575,31.2042,2020-06-01,694.0799999999999,5,2,2021-02-28,3470.3999999999996
7912,سوبر ماركت,100162,الوراق,Giza,وراق العرب,30.0986,31.2062,2020-06-01,NA,NA,NA,NA,NA
7929,سوبر ماركت,100142,شبرا مصر,Cairo,الخلفاوى,30.08815,31.25358,2020-06-01,795.27,2,0,2020-10-13,1590.54
8018,سوبر ماركت,100162,الوراق,Giza,وراق العرب,30.0941,31.20625,2020-06-02,634,2,0,2020-10-09,1268
8024,عطارة,100162,الوراق,Giza,وراق الحضر,30.1018,31.21735,2020-06-02,1202.8799999999999,3,1,2021-02-28,3608.64
8077,سوبر ماركت,100128,المعادي,Cairo,المعادي,30.16662,31.32887,2020-06-02,527.5,2,1,2020-06-07,1055
8094,سوبر ماركت,100126,امبابة,Giza,الكيت كات,30.0926,31.2106,2020-06-02,5802.842142857143,28,18,2020-10-08,162479.58
8127,سوبر ماركت,100123,الهرم,Giza,نزلة السيسي,29.9858,31.14915,2020-06-03,817.6285714285714,7,3,2020-10-10,5723.4
8182,سوبر ماركت,100123,الهرم,Giza,نزلة السيسي,29.98161,31.15179,2020-06-03,NA,NA,NA,NA,NA
8200,سوبر ماركت,100110,المرج,Cairo,المرج القديمة,30.1426,31.33075,2020-06-03,906.0299999999999,3,1,2021-03-09,2718.0899999999997
8211,سوبر ماركت,100152,مدينة السلام,Cairo,السلام,31.39821,30.1457,2020-06-03,330.058,5,2,2020-10-04,1650.29
8224,سوبر ماركت,100126,امبابة,Giza,المنيره,30.0862,31.2087,2020-06-03,875.3288888888889,9,1,2021-03-03,7877.96
8227,سوبر ماركت,100123,الهرم,Giza,كفر الجبل,29.96925,31.15119,2020-06-03,981.34,3,1,2020-09-12,2944.02
8258,سوبر ماركت,100216,المعصرة,Cairo,NA,29.91354,31.28928,2020-06-04,3519.3399999999997,2,1,2020-07-14,7038.679999999999
8269,سوبر ماركت,100119,فيصل,Giza,الطوابق,30.00175,31.1505,2020-06-04,1568.4941666666666,12,3,2021-03-08,18821.93
8321,سوبر ماركت,100113,الزيتون,Cairo,سليم,30.1034,31.3108,2020-06-05,2183.713333333333,3,2,2020-11-23,6551.139999999999
8349,كشك,100119,فيصل,Giza,العشرين,30.0073,31.18435,2020-06-06,260,1,0,2020-09-22,260
8389,سوبر ماركت,100126,امبابة,Giza,الكيت كات,30.09165,31.218,2020-06-06,1029.9799999999998,3,1,2020-07-19,3089.9399999999996
8462,سوبر ماركت,100110,المرج,Cairo,المرج الجديدة,30.15835,31.30671,2020-06-06,5164.373333333333,3,1,2020-06-27,15493.119999999999
8520,سوبر ماركت,100119,فيصل,Giza,العشرين,30.01675,31.1822,2020-06-06,2508.1339999999996,5,0,2021-02-06,12540.669999999998
8586,سوبر ماركت,100162,الوراق,Giza,وراق العرب,30.0854,31.27775,2020-06-07,NA,NA,NA,NA,NA
8604,سوبر ماركت,100126,امبابة,Giza,الكيت كات,30.0885,31.20895,2020-06-07,517.44,1,0,2020-10-11,517.44
8638,عطارة,100126,امبابة,Giza,الكيت كات,30.08707,31.20256,2020-06-07,1299.5449999999998,2,0,2020-12-08,2599.0899999999997
8647,عطارة,100126,امبابة,Giza,الكيت كات,30.08729,31.20174,2020-06-07,5011.5,1,0,2020-09-22,5011.5
8651,سوبر ماركت,100152,مدينة السلام,Cairo,السلام,31.20126,30.08737,2020-06-07,1224.51,1,1,2020-09-23,1224.51
8657,سوبر ماركت,100202,جسر السويس,Cairo,جسر السويس,30.14579,31.39745,2020-06-07,1021.9466666666666,3,0,2021-01-31,3065.8399999999997
8671,سوبر ماركت,100112,العمرانية,Giza,العمرانية الغربية,29.98183,31.20343,2020-06-07,540.96,1,0,2020-10-31,540.96
8729,سوبر ماركت,100152,مدينة السلام,Cairo,السلام,31.39441,30.14672,2020-06-07,448.5,1,0,2020-09-27,448.5
8734,سوبر ماركت,100112,العمرانية,Giza,العمرانية الغربية,29.9819,31.2037,2020-06-07,605.0949999999999,4,0,2020-10-17,2420.3799999999997
8757,كشك,100137,النزهه الجديده,Cairo,النزهه الجديده,30.12689,31.3762,2020-06-07,946.52,3,0,2021-01-26,2839.56
8768,سوبر ماركت,100143,شبرا الخيمة,Cairo,شبرا الخيمة,30.11988,31.24343,2020-06-07,NA,NA,NA,NA,NA
8788,سوبر ماركت,100112,العمرانية,Giza,العمرانية الغربية,29.98998,31.19274,2020-06-07,1309.182857142857,7,1,2021-03-04,9164.279999999999
8805,سوبر ماركت,100112,العمرانية,Giza,العمرانية الغربية,29.9806,31.2039,2020-06-07,1515.7071428571428,7,4,2020-12-19,10609.949999999999
8813,سوبر ماركت,100149,الزاويه الحمراء,Cairo,الزاويه الحمراء,30.05771,31.18248,2020-06-07,1551.34,1,0,2020-08-30,1551.34
8830,سوبر ماركت,100112,العمرانية,Giza,العمرانية الغربية,29.9818,31.204,2020-06-07,623.9675,4,2,2020-10-11,2495.87
8855,سوبر ماركت,100142,شبرا مصر,Cairo,روض الفرج,30.07375,31.23995,2020-06-07,881.9833333333332,6,1,2021-03-02,5291.9
8868,سوبر ماركت,100143,شبرا الخيمة,Cairo,شبرا الخيمة,30.12643,31.22647,2020-06-07,NA,NA,NA,NA,NA
8872,عطارة,100146,باب الشعريه,Cairo,باب الشعريه,NA,NA,2020-06-07,2909.84375,8,3,2021-03-09,23278.75
8886,سوبر ماركت,100112,العمرانية,Giza,العمرانية الغربية,29.98983,31.1954,2020-06-07,14798.275,6,4,2021-01-31,88789.65
8955,سوبر ماركت,100215,طرة,Cairo,NA,29.94356,31.27463,2020-06-08,1471.375,2,2,2020-08-11,2942.75
9047,سوبر ماركت,100152,مدينة السلام,Cairo,السلام,31.38537,30.13966,2020-06-08,978.665,2,1,2020-10-04,1957.33
9227,سوبر ماركت,100113,الزيتون,Cairo,التجنيد,31.32347,30.10589,2020-06-08,NA,NA,NA,NA,NA
9250,سوبر ماركت,100112,العمرانية,Giza,العمرانية الغربية,29.994,31.1912,2020-06-08,2730.0366666666664,15,0,2021-02-22,40950.549999999996
9272,سوبر ماركت,100179,بشتيل,Giza,بشتيل,30.08661,31.18733,2020-06-08,2943.27,1,1,2020-06-24,2943.27
9409,سوبر ماركت,100143,شبرا الخيمة,Cairo,شبرا الخيمة,30.13,31.242,2020-06-09,1508.1066666666666,6,0,2020-08-29,9048.64
9446,سوبر ماركت,100123,الهرم,Giza,المنصورية,29.9762,31.1466,2020-06-09,1003.06,6,5,2021-02-26,6018.36
9456,سوبر ماركت,100162,الوراق,Giza,NA,30.1742,31.1185,2020-06-09,3255.056428571428,14,5,2021-03-02,45570.78999999999
9472,سوبر ماركت,100143,شبرا الخيمة,Cairo,شبرا الخيمة,30.13222,31.24883,2020-06-09,NA,NA,NA,NA,NA
9522,سوبر ماركت,100122,حدائق القبة,Cairo,كوبري القبة,30.09059,31.29076,2020-06-09,NA,NA,NA,NA,NA
9542,سوبر ماركت,100119,فيصل,Giza,حسن محمد,30.0026,31.17165,2020-06-09,535.905,2,0,2020-10-20,1071.81
9561,سوبر ماركت,100137,النزهه الجديده,Cairo,النزهه الجديده,30.13615,31.3715,2020-06-09,746.631,10,3,2021-03-02,7466.3099999999995
9575,سوبر ماركت,100143,شبرا الخيمة,Cairo,شبرا الخيمة,30.12282,31.25118,2020-06-09,NA,NA,NA,NA,NA
9579,سوبر ماركت,100119,فيصل,Giza,العشرين,30.12282,31.25118,2020-06-09,300,1,0,2020-10-01,300
9632,سوبر ماركت,100152,مدينة السلام,Cairo,السلام,30.16206,31.40863,2020-06-09,2622.23,1,0,2020-07-19,2622.23
9656,عطارة,100149,الزاويه الحمراء,Cairo,الزاويه الحمراء,30.0876,31.27185,2020-06-09,2028.3190909090908,11,4,2021-02-18,22311.51
9711,سوبر ماركت,100179,بشتيل,Giza,بشتيل,30.08688,31.19035,2020-06-09,13238.33,2,2,2020-06-11,26476.66
9719,سوبر ماركت,100173,ميت نما,Cairo,ميت نما,30.13715,31.23415,2020-06-10,2615.2349999999997,32,11,2021-03-16,83687.51999999999
9731,سوبر ماركت,100179,بشتيل,Giza,NA,30.08755,31.18271,2020-06-10,664.4399999999999,2,1,2021-03-03,1328.8799999999999
9815,سوبر ماركت,100126,امبابة,Giza,الكيت كات,30.0858,31.20305,2020-06-10,NA,NA,NA,NA,NA
9858,عطارة,100162,الوراق,Giza,وراق العرب,30.1,31.2057,2020-06-10,2820.418333333333,6,2,2021-03-09,16922.51
9865,سوبر ماركت,100173,ميت نما,Cairo,ميت نما,31.23194,30.143,2020-06-10,1010.0049999999999,4,2,2020-09-26,4040.0199999999995
9881,سوبر ماركت,100119,فيصل,Giza,العشرين,30.01445,31.1952,2020-06-10,1738.0742105263155,19,4,2021-03-03,33023.409999999996
9882,كشك,100152,مدينة السلام,Cairo,السلام,30.13836,31.38687,2020-06-10,NA,NA,NA,NA,NA
9884,سوبر ماركت,100142,شبرا مصر,Cairo,الخلفاوى,30.0878,31.2546,2020-06-10,4085.4158064516123,31,13,2021-03-14,126647.88999999998
9925,سوبر ماركت,100150,الوايلي,Cairo,الأميرية الشمالية,30.09728,31.2714,2020-06-10,NA,NA,NA,NA,NA
10018,سوبر ماركت,100169,المنيب,Giza,ميدان المنيب,31.22645,30.12946,2020-06-11,2100.388,5,0,2021-02-25,10501.939999999999
10031,سوبر ماركت,100142,شبرا مصر,Cairo,الترعة البولاقية,NA,NA,2020-06-11,NA,NA,NA,NA,NA
10060,سوبر ماركت,100142,شبرا مصر,Cairo,الخلفاوى,30.09425,31.2486,2020-06-11,1111.8899999999999,6,1,2021-02-11,6671.339999999999
10122,سوبر ماركت,100119,فيصل,Giza,الكوم الأخضر,29.99479,31.15179,2020-06-11,751.3699999999999,3,3,2020-09-19,2254.1099999999997
10143,سوبر ماركت,100142,شبرا مصر,Cairo,روض الفرج,30.0808,31.24005,2020-06-11,1132.674,5,1,2021-02-08,5663.37
10144,سوبر ماركت,100176,السبتية,Cairo,السبتية,NA,NA,2020-06-11,NA,NA,NA,NA,NA
10251,سوبر ماركت,100112,العمرانية,Giza,العمرانية الغربية,29.9962,31.2069,2020-06-11,2603.17,11,2,2020-09-26,28634.87
10257,سوبر ماركت,100122,حدائق القبة,Cairo,قسم الحدائق,30.12946,30.12946,2020-06-11,2548.68,3,2,2021-02-22,7646.04
10283,سوبر ماركت,100158,ارض اللواء,Giza,أرض اللواء,NA,NA,2020-06-13,3401.3085714285708,7,2,2021-03-03,23809.159999999996
